samplingName,nbSamples,descriptorName,J,Q,pertinenceFunction,birdSearchMode,birdConfidenceLimit,averagePertinence,diversity,nbBirds,nbWithBirds,criterion
Random,10,scalogramStat4,12,3,inverse,single,0.1,18.73578860039949,0.0072621164526936,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,25.345198139411075,0.0084608922033069,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,24.90137875734083,0.0044229315411158,6,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,14.795212554449128,0.0035799120304635,5,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,11.747092860362168,0.0042325497082233,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,24.31522436470976,0.0052890738063104,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,16.326060031331657,0.0097701816299129,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,17.230263792982495,0.0062399399888431,5,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,46.7916086091835,0.0080888652757192,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,24.420376842203115,0.005953325034209,9,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,24.03905650199583,0.0058002459758496,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,14.53639237864046,0.0058455233336226,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,21.20248196142562,0.0049205333120507,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,41.79152212216834,0.0072718098855198,10,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,30.580346980578145,0.0054320680274011,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,30.95411872855912,0.0081534071708082,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,16.334941150923008,0.006781288443815,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,65.35322842186336,0.0078072225654449,8,9,0.0
